Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R68,2.2k,R_0805_2012Metric,165.331833,-70.11175,180.0,top
R69,1k,R_0805_2012Metric,165.331833,-72.65175,180.0,top
R7,470,R_0805_2012Metric,122.1315,-120.904,180.0,top
R70,470,R_0805_2012Metric,165.331833,-75.19175,180.0,top
R71,220,R_0805_2012Metric,165.331833,-77.73175,180.0,top
R72,100,R_0805_2012Metric,165.331833,-80.27175,180.0,top
R8,220,R_0805_2012Metric,122.1315,-123.444,180.0,top
R9,100,R_0805_2012Metric,122.1315,-125.984,180.0,top
SW1,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,114.554,-116.8475,0.0,top
SW2,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,136.166667,-116.8475,0.0,top
SW3,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,157.779333,-116.8475,0.0,top
SW4,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,179.392,-116.854,0.0,top
SW5,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,179.3545,-71.13525,0.0,top
SW6,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,114.554,-71.13525,0.0,top
SW7,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,136.154167,-71.13525,0.0,top
SW8,SW_DIP_x08,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,157.754333,-71.13525,0.0,top
